state_code,year,indicator,value,unit,source
07,2023,age_under_18_share,16.8,percent,Bundeswahlleiterin structural data 2025
07,2023,age_60_74_share,20.2,percent,Bundeswahlleiterin structural data 2025
07,2023,age_75_plus_share,10.7,percent,Bundeswahlleiterin structural data 2025
07,2021,disposable_income_per_capita,24367,eur_per_person,Bundeswahlleiterin structural data 2025
07,2021,gdp_per_capita,39530,eur_per_person,Bundeswahlleiterin structural data 2025
07,2023,employees_subject_to_social_insurance,360.4,per_1000_people,Bundeswahlleiterin structural data 2025
07,2024,social_benefit_recipients,57.5,per_1000_people,Bundeswahlleiterin structural data 2025
07,2024,unemployment_rate,5.2,percent,Bundeswahlleiterin structural data 2025
09,2023,area_km2,70541.8,km2,Bundeswahlleiterin structural data 2025
09,2023,population_thousands,13176.4,thousand_people,Bundeswahlleiterin structural data 2025
09,2023,foreign_population_share,15.4,percent,Bundeswahlleiterin structural data 2025
09,2023,population_density,186.8,people_per_km2,Bundeswahlleiterin structural data 2025
09,2023,natural_population_change,-2.3,per_1000_people,Bundeswahlleiterin structural data 2025
09,2022,net_migration,16.6,per_1000_people,Bundeswahlleiterin structural data 2025
09,2023,age_under_18_share,16.9,percent,Bundeswahlleiterin structural data 2025
09,2023,age_60_74_share,18.1,percent,Bundeswahlleiterin structural data 2025
09,2023,age_75_plus_share,10.4,percent,Bundeswahlleiterin structural data 2025
09,2021,disposable_income_per_capita,26764,eur_per_person,Bundeswahlleiterin structural data 2025
09,2021,gdp_per_capita,50643,eur_per_person,Bundeswahlleiterin structural data 2025
09,2023,employees_subject_to_social_insurance,449.7,per_1000_people,Bundeswahlleiterin structural data 2025
09,2024,social_benefit_recipients,36.4,per_1000_people,Bundeswahlleiterin structural data 2025
09,2024,unemployment_rate,3.7,percent,Bundeswahlleiterin structural data 2025
08,2023,area_km2,35747.9,km2,Bundeswahlleiterin structural data 2025
08,2023,population_thousands,11230.7,thousand_people,Bundeswahlleiterin structural data 2025
08,2023,foreign_population_share,18.0,percent,Bundeswahlleiterin structural data 2025
08,2023,population_density,314.2,people_per_km2,Bundeswahlleiterin structural data 2025
08,2023,natural_population_change,-1.9,per_1000_people,Bundeswahlleiterin structural data 2025
08,2022,net_migration,15.8,per_1000_people,Bundeswahlleiterin structural data 2025
08,2023,age_under_18_share,17.3,percent,Bundeswahlleiterin structural data 2025
08,2023,age_60_74_share,18.0,percent,Bundeswahlleiterin structural data 2025
08,2023,age_75_plus_share,10.4,percent,Bundeswahlleiterin structural data 2025
08,2021,disposable_income_per_capita,26039,eur_per_person,Bundeswahlleiterin structural data 2025
08,2021,gdp_per_capita,48493,eur_per_person,Bundeswahlleiterin structural data 2025
08,2023,employees_subject_to_social_insurance,437.1,per_1000_people,Bundeswahlleiterin structural data 2025
08,2024,social_benefit_recipients,46.1,per_1000_people,Bundeswahlleiterin structural data 2025
08,2024,unemployment_rate,4.2,percent,Bundeswahlleiterin structural data 2025
10,2023,area_km2,2572.0,km2,Bundeswahlleiterin structural data 2025
10,2023,population_thousands,1014.0,thousand_people,Bundeswahlleiterin structural data 2025
10,2023,foreign_population_share,14.7,percent,Bundeswahlleiterin structural data 2025
