election_date,state_code,party,votes,vote_share_percent,previous_votes,previous_vote_share_percent,change_percentage_points
2025-02-23,09,Volt,50671,0.635608,21434,0.283095,0.352513
2025-02-23,09,PdH,5466,0.068565,6689,0.088347,-0.019782
2025-02-23,09,MLPD,1652,0.020722,1251,0.016523,0.004199
2025-02-23,09,BÜNDNIS DEUTSCHLAND,6937,0.087016,,,
2025-02-23,09,BSW,246518,3.092277,,,
2025-02-23,09,Bündnis C,,,5574,0.07362,-0.07362
2025-02-23,09,BüSo,,,,,
2025-02-23,09,Team Todenhöfer,,,24629,0.325294,-0.325294
2025-02-23,09,Verjüngungsforschung,,,8524,0.112583,-0.112583
2025-02-23,09,PIRATEN,,,25865,0.341618,-0.341618
2025-02-23,08,CDU,2006866,31.604199,1477612,24.835234,6.768965
2025-02-23,08,SPD,898778,14.153989,1287934,21.647187,-7.493198
2025-02-23,08,GRÜNE,865738,13.633674,1022226,17.181251,-3.547577
2025-02-23,08,FDP,357539,5.630537,908039,15.262032,-9.631495
2025-02-23,08,AfD,1256430,19.786305,571336,9.602834,10.183471
2025-02-23,08,Die Linke,429484,6.76353,196874,3.308996,3.454534
2025-02-23,08,dieBasis,21845,0.344016,114919,1.931522,-1.587506
2025-02-23,08,FREIE WÄHLER,86311,1.359229,103611,1.741461,-0.382232
2025-02-23,08,Tierschutzpartei,55906,0.88041,74702,1.255568,-0.375158
2025-02-23,08,Die PARTEI,28041,0.441591,53597,0.900841,-0.459251
2025-02-23,08,Volt,49025,0.772047,20620,0.346574,0.425473
2025-02-23,08,ÖDP,12258,0.193039,17637,0.296437,-0.103398
2025-02-23,08,Bündnis C,11768,0.185323,12625,0.212197,-0.026874
2025-02-23,08,MLPD,2379,0.037465,2248,0.037784,-0.000319
2025-02-23,08,BÜNDNIS DEUTSCHLAND,7411,0.116709,,,
2025-02-23,08,BSW,260219,4.097938,,,
2025-02-23,08,BüSo,,,,,
